====================
 System property Ver1.2.6
====================
"Instrument S/N:"	00218
"Vs/ml:"	27.698
=======================
 Measurement condition
=======================
"Adsorptive:"	Ar
"Meas. Temp./K:"	87.00
"Molecular cross-sectional area:"	0
"Molecular weight of adsorbate:"	0.00
"Equilibrium time/sec:"	0
"Measurement mode:"	1
====================
 Sample information
====================
"Sample weight/g:"	0.14320
"Comment1:"	"aus der BOX"
"Comment2:"	"Volodymyr"
"Comment3:"	"170 degree C 5 h"
"Comment4:"	", Vacuum degree before measurement:5.692E-6Pa"
"as/m2 g-1:"	0.0000
"Molecular weight of adsorbent:"	0.00
====================
 Time and dead volume
====================
"Date of measurement:"	20/06/03
"Time of measurement:"	64:05:05
"Not used:"	0.0000E+0
"Average dead volume:"	4.1331E+1
"Initial dead volume/ml:"	41.331
====================
 Adsorption data
====================
"No."	"Pe/kPa"	"P0/kPa"	"Vd/ml"	"V/ml(STP) g-1"	
1	1.2621E-4	101.30	41.331	1.0258E-4	
2	3.6169E-4	101.30	41.331	1.2770E-1	
3	5.1271E-4	101.30	41.331	2.5735E-1	
4	6.5335E-4	101.30	41.331	3.8481E-1	
5	7.9512E-4	101.30	41.331	5.1136E-1	
6	9.3801E-4	101.30	41.331	6.3789E-1	
7	1.0922E-3	101.30	41.331	7.6480E-1	
8	2.0781E-3	101.30	41.331	1.4186	
9	4.7582E-3	101.30	41.331	2.9320	
10	7.6859E-3	101.30	41.331	4.4476	
11	1.0666E-2	101.30	41.331	5.9556	
12	3.0263E-2	101.30	41.331	16.024	
13	4.8555E-2	101.30	41.331	26.061	
14	6.5348E-2	101.30	41.331	36.088	
15	7.5344E-2	101.30	41.331	43.195	
16	8.4489E-2	101.30	41.331	50.292	
17	9.3028E-2	101.30	41.331	57.417	
18	1.0088E-1	101.30	41.331	64.580	
19	1.0869E-1	101.30	41.331	71.850	
20	1.2649E-1	101.30	41.331	89.689	
21	1.4131E-1	101.30	41.331	107.23	
22	1.5450E-1	101.30	41.331	124.73	
23	1.6773E-1	101.30	41.331	142.27	
24	1.8149E-1	101.30	41.331	159.83	
25	1.9707E-1	101.30	41.331	177.40	
26	2.1556E-1	101.30	41.331	194.95	
27	2.4065E-1	101.30	41.331	212.39	
28	2.7723E-1	101.30	41.331	229.90	
29	3.3717E-1	101.30	41.331	247.30	
30	4.1575E-1	101.30	41.331	261.16	
31	5.1024E-1	101.30	41.331	271.56	
32	6.0020E-1	101.30	41.331	278.63	
33	7.1768E-1	101.30	41.331	285.67	
34	7.9372E-1	101.30	41.331	289.32	
35	8.7704E-1	101.30	41.331	292.96	
36	9.6878E-1	101.30	41.331	296.58	
37	1.0690	101.30	41.331	300.19	
38	1.1801	101.30	41.331	303.78	
39	1.2814	101.30	41.331	307.43	
40	1.4076	101.30	41.331	311.04	
41	1.5501	101.30	41.331	314.67	
42	1.7007	101.30	41.331	318.17	
43	1.8513	101.30	41.331	321.71	
44	2.0426	101.30	41.331	325.19	
45	2.2421	101.30	41.331	328.70	
46	2.4863	101.30	41.331	332.14	
47	2.7590	101.30	41.331	335.55	
48	3.0684	101.30	41.331	338.86	
49	3.4388	101.30	41.331	341.96	
50	3.8866	101.30	41.331	345.07	
51	4.3873	101.30	41.331	347.91	
52	4.9816	101.30	41.331	350.64	
53	5.6736	101.30	41.331	353.22	
54	6.4837	101.30	41.331	355.58	
55	7.3955	101.30	41.331	357.72	
56	8.4050	101.30	41.331	359.69	
57	9.5529	101.30	41.331	361.49	
58	10.811	101.30	41.331	363.17	
59	11.885	101.30	41.331	364.43	
60	12.789	101.30	41.331	365.33	
61	13.953	101.30	41.331	366.45	
62	14.955	101.30	41.331	367.31	
63	15.940	101.30	41.331	368.12	
64	16.966	101.30	41.331	368.90	
65	18.073	101.30	41.331	369.66	
66	19.241	101.30	41.331	370.44	
67	20.495	101.30	41.331	371.20	
68	21.875	101.30	41.331	372.02	
69	23.242	101.30	41.331	372.80	
70	24.777	101.30	41.331	373.54	
71	26.389	101.30	41.331	374.33	
72	28.111	101.30	41.331	375.16	
73	29.971	101.30	41.331	375.98	
74	31.941	101.30	41.331	376.82	
75	34.156	101.30	41.331	377.75	
76	36.700	101.30	41.331	378.73	
77	39.448	101.30	41.331	379.77	
78	42.419	101.30	41.331	380.83	
79	45.602	101.30	41.331	382.02	
80	49.058	101.30	41.331	383.37	
81	52.807	101.30	41.331	384.72	
82	56.833	101.30	41.331	386.19	
83	59.129	101.30	41.331	387.13	
84	61.388	101.30	41.331	387.96	
85	63.692	101.30	41.331	388.88	
86	66.082	101.30	41.331	389.87	
87	68.561	101.30	41.331	390.89	
88	71.166	101.30	41.331	391.96	
89	73.812	101.30	41.331	393.16	
90	76.612	101.30	41.331	394.45	
91	79.466	101.30	41.331	395.98	
92	82.437	101.30	41.331	397.66	
93	85.499	101.30	41.331	399.59	
94	88.649	101.30	41.331	401.83	
95	91.918	101.30	41.331	404.55	
96	95.252	101.30	41.331	407.83	
97	98.643	101.30	41.331	411.91	
98	100.63	101.30	41.331	415.18	
0	0	0	0	0	
====================
 Desorption data
====================
"No."	"Pe/kPa"	"P0/kPa"	"Vd/ml"	"V/ml(STP) g-1"	
1	97.678	101.30	41.331	412.38	
2	95.533	101.30	41.331	410.38	
3	92.048	101.30	41.331	407.82	
4	88.421	101.30	41.331	405.53	
5	84.916	101.30	41.331	403.58	
6	81.546	101.30	41.331	401.94	
7	78.359	101.30	41.331	400.44	
8	75.289	101.30	41.331	399.22	
9	72.326	101.30	41.331	398.08	
10	69.513	101.30	41.331	396.96	
11	66.782	101.30	41.331	396.05	
12	64.156	101.30	41.331	395.17	
13	61.645	101.30	41.331	394.33	
14	59.235	101.30	41.331	393.56	
15	54.867	101.30	41.331	392.20	
16	50.662	101.30	41.331	390.84	
17	47.495	101.30	41.331	387.67	
18	45.517	101.30	41.331	384.85	
19	43.225	101.30	41.331	383.43	
20	39.875	101.30	41.331	382.01	
21	36.720	101.30	41.331	380.76	
22	33.814	101.30	41.331	379.65	
23	31.152	101.30	41.331	378.58	
24	28.685	101.30	41.331	377.57	
25	26.405	101.30	41.331	376.57	
26	23.462	101.30	41.331	375.17	
27	20.735	101.30	41.331	373.74	
28	18.284	101.30	41.331	372.32	
29	16.115	101.30	41.331	370.84	
30	14.185	101.30	41.331	369.36	
31	12.081	101.30	41.331	367.47	
32	10.229	101.30	41.331	365.40	
33	8.6452	101.30	41.331	363.18	
34	7.4973	101.30	41.331	361.23	
35	6.5854	101.30	41.331	359.26	
36	5.7184	101.30	41.331	356.89	
37	5.0142	101.30	41.331	354.55	
38	4.3792	101.30	41.331	351.82	
39	3.8663	101.30	41.331	349.11	
40	3.4714	101.30	41.331	346.51	
41	3.1620	101.30	41.331	344.09	
42	2.9137	101.30	41.331	341.80	
43	2.7102	101.30	41.331	339.63	
44	2.2543	101.30	41.331	333.89	
45	1.8676	101.30	41.331	327.51	
46	1.2490	101.30	41.331	311.89	
47	8.2888E-1	101.30	41.331	296.43	
48	5.6022E-1	101.30	41.331	281.41	
49	4.0394E-1	101.30	41.331	266.17	
50	3.1697E-1	101.30	41.331	251.06	
51	2.6509E-1	101.30	41.331	235.96	
52	2.3163E-1	101.30	41.331	220.80	
0	0	0	0	0	
